none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
3.34334006411128,-1.15339416660836,6.3376848671252,-0.841266819592961,-4.10423046035198,-0.956513488627647,4,1,2,5,3,0,1,0,93,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010772799,-1.11142143385117,1.7189905037834,-0.711990982820175,2.21872653999445,-0.679880342971086,5,2,4,1,3,0,1,0,94,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010471337,-0.559820794108781,-0.843311575763164,-0.563167306427017,3.8318972482106,-1.08191169966437,2,4,3,1,5,0,1,0,95,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34333998005734,8.80266800758287,-0.962043081831068,-0.517371089107897,2.78640099715409,-12.9406882988686,1,4,3,2,5,0,1,0,96,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334008828212,1.67809835765996,-0.353791970493152,-4.53648366711477,0.594324793750809,10.6503247280304,2,4,5,3,1,0,1,0,97,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010260256,-0.567705849297682,-3.94653547347439,3.00103928594685,-0.565226470254778,2.70553234125932,4,5,1,3,2,0,1,0,98,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005415824,-1.31932589443358,-0.821036912066383,-2.32446078070538,-0.815250403015034,-1.23410871829712,4,2,5,1,3,0,1,0,99,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007608703,2.25718416057486,-0.525748140143515,-7.00104460231657,16.668115316382,-0.558476692027707,2,3,5,1,4,0,1,0,100,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
4.21895016655014,-8.7349258546294,-0.588261038676586,-0.628766180796578,-0.537450940434677,-1.44036559348812,5,2,3,1,4,0.1,1,0,1,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895001531805,-1.32333640746111,-0.586562724637607,0.174193959156077,-10.5145495080814,-0.759367315778593,4,2,1,5,3,0.1,1,0,2,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
