none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169983535839,1.14554993903139,0.171606549480627,-1.44687134833294,0.554152009548299,3.06278066802914,2,4,5,3,1,0,1,0,75,experiment_lm1,B,100
-0.724169987625066,0.973632010871326,1.86307192641186,-0.261962177248126,-0.210869595054336,-1.55902257014305,2,1,4,3,5,0,1,0,76,experiment_lm1,B,100
-0.724169970058145,-1.46687245296503,0.114433940651262,-0.643883417675674,-0.741806217679811,-2.14744444690376,4,1,2,3,5,0,1,0,77,experiment_lm1,B,100
-0.724169993184416,0.340308259465934,-1.45074270986703,-0.423476091269782,-0.146707250817954,-3.09514352131115,1,4,3,2,5,0,1,0,78,experiment_lm1,B,100
-0.724169979705404,0.487691756125833,0.947859101497085,0.204067114959631,-0.289561129126544,0.760611241036542,3,1,4,5,2,0,1,0,79,experiment_lm1,B,100
-0.72416999750111,-0.889869434571874,1.1038179719078,-0.144103559428482,-0.115078519692199,0.0506475223756706,5,1,4,3,2,0,1,0,80,experiment_lm1,B,100
-0.724169989565795,0.500224580537224,0.595528091590878,0.676242757070765,-0.974305056151614,1.30729879794964,4,3,2,5,1,0,1,0,81,experiment_lm1,B,100
-0.724169981863548,-0.0133938980847211,1.9947639783877,0.55409935217474,1.02298739791727,-0.447019555006724,4,1,3,2,5,0,1,0,82,experiment_lm1,B,100
-0.724169997874145,-0.395092917035864,1.22969500173844,0.273064690681166,0.979909146010121,0.918745299976938,5,1,4,2,3,0,1,0,83,experiment_lm1,B,100
-0.724169993282007,-0.84079846828963,0.460567121199234,0.420880683722872,-1.52052503519108,0.57003028900532,4,2,3,5,1,0,1,0,84,experiment_lm1,B,100
-0.724169984191566,1.69302136584723,1.58451889613461,-1.92670891683635,1.01733471415619,-0.0553461570152021,1,2,5,3,4,0,1,0,85,experiment_lm1,B,100
