n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
10,20,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,10.23
5,5,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,5.18100000000004
7,5,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,5.17299999999977
10,5,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,6.95299999999998
5,20,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,5.19700000000012
7,20,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,6.25799999999981
10,20,10000,0.5,xgboost,4,1000,8,Linuxjullum,independence,10.9459999999999
5,5,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,6.89800000000014
7,5,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,6.98199999999997
10,5,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,8.51700000000028
5,20,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.0260000000003
7,20,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.44800000000032
10,20,1000,0.5,xgboost,6,1000,8,Linuxjullum,independence,11.2930000000001
5,5,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.17100000000028
7,5,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.36599999999999
10,5,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,8.73500000000013
5,20,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.25700000000006
7,20,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,7.80499999999984
10,20,10000,0.5,xgboost,6,1000,8,Linuxjullum,independence,11.7510000000002
7,5,1000,0.5,xgboost,8,1000,8,Linuxjullum,independence,8.97899999999981
10,5,1000,0.5,xgboost,8,1000,8,Linuxjullum,independence,10.1860000000001
7,20,1000,0.5,xgboost,8,1000,8,Linuxjullum,independence,9.47200000000021
10,20,1000,0.5,xgboost,8,1000,8,Linuxjullum,independence,12.7649999999999
7,5,10000,0.5,xgboost,8,1000,8,Linuxjullum,independence,9.55300000000034
10,5,10000,0.5,xgboost,8,1000,8,Linuxjullum,independence,10.8709999999996
7,20,10000,0.5,xgboost,8,1000,8,Linuxjullum,independence,9.93199999999979
